Portfolio Name,Category,Set,Name,Card Number,Rarity,Variance,Grade,Card Condition,Purchase Price,Quantity,Market Price,Watchlist,Date Added,Franchise,Image URL,Owned,Source,Profit/Loss (USD),Profit/Loss (%)
1,Pokemon,Astral Radiance Trainer Gallery,Bronzong ,TG11/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,2.11,False,2025-05-12,Unknown,,Yes,Collectr,2.11,0.0
1,Pokemon,Battle Partners,Iono's Kilowattrel (JP),104/100,Art Rare,Holofoil,Ungraded,Near Mint,0.0,1,5.5209,False,2025-05-12,Unknown,,Yes,Collectr,5.5209,0.0
1,Pokemon,Battle Partners,Lillie's Clefairy (JP),115/100,Super Rare,Holofoil,Ungraded,Near Mint,0.0,1,17.2268,False,2025-05-12,Unknown,,Yes,Collectr,17.2268,0.0
1,Pokemon,Obsidian Flames,Ortega  ,219/197,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,0.92,False,2025-05-12,Unknown,,Yes,Collectr,0.92,0.0
Album,Pokemon,Ancient Roar,Brute Bonnet (JP),077/066,Art Rare,Holofoil,Ungraded,Near Mint,0.0,1,6.1123,False,2025-04-28,Unknown,,Yes,Collectr,6.1123,0.0
Album,Pokemon,Ancient Roar,Morpeko (JP),076/066,Art Rare,Holofoil,Ungraded,Near Mint,0.0,2,6.2989,False,2025-04-28,Unknown,,Yes,Collectr,6.2989,0.0
Album,Pokemon,Ancient Roar,Wiglett (JP),024/066,Common,Normal,Ungraded,Near Mint,0.0,1,0.14,False,2025-05-16,Unknown,,Yes,Collectr,0.14,0.0
Album,Pokemon,Astral Radiance,Hisuian Lilligant V (Alternate Full Art) ,163/189,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,16.03,False,2025-04-28,Unknown,,Yes,Collectr,16.03,0.0
Album,Pokemon,Astral Radiance Trainer Gallery,Bronzong ,TG11/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,2.11,False,2025-05-16,Unknown,,Yes,Collectr,2.11,0.0
Album,Pokemon,Astral Radiance Trainer Gallery,Falinks ,TG07/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,1.62,False,2025-04-28,Unknown,,Yes,Collectr,1.62,0.0
Album,Pokemon,Astral Radiance Trainer Gallery,Flapple ,TG02/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,1.25,False,2025-04-28,Unknown,,Yes,Collectr,1.25,0.0
Album,Pokemon,Astral Radiance Trainer Gallery,Frosmoth ,TG04/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,2,1.53,False,2025-04-28,Unknown,,Yes,Collectr,1.53,0.0
Album,Pokemon,Astral Radiance Trainer Gallery,Galarian Zapdos V ,TG19/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,8.75,False,2025-05-16,Unknown,,Yes,Collectr,8.75,0.0
Album,Pokemon,Astral Radiance Trainer Gallery,Gardevoir ,TG05/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,3.05,False,2025-04-28,Unknown,,Yes,Collectr,3.05,0.0
Album,Pokemon,Astral Radiance Trainer Gallery,Piers ,TG28/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,2.97,False,2025-05-16,Unknown,,Yes,Collectr,2.97,0.0
Album,Pokemon,Battle Partners,Iono's Bellibolt (JP),125/100,Special Art Rare,Holofoil,Ungraded,Near Mint,0.0,1,76.1303,False,2025-04-28,Unknown,,Yes,Collectr,76.1303,0.0
Album,Pokemon,Battle Partners,Iono's Kilowattrel (JP),104/100,Art Rare,Holofoil,Ungraded,Near Mint,0.0,1,5.5209,False,2025-05-16,Unknown,,Yes,Collectr,5.5209,0.0
Album,Pokemon,Battle Partners,Lillie's Clefairy (JP),115/100,Super Rare,Holofoil,Ungraded,Near Mint,0.0,1,17.2268,False,2025-05-16,Unknown,,Yes,Collectr,17.2268,0.0
Album,Pokemon,Brilliant Stars,Aggron VMAX ,097/172,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,2,1.93,False,2025-05-16,Unknown,,Yes,Collectr,1.93,0.0
Album,Pokemon,Brilliant Stars,Charizard V ,017/172,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,3.13,False,2025-05-16,Unknown,,Yes,Collectr,3.13,0.0
Album,Pokemon,Brilliant Stars,Morpeko V ,095/172,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,0.68,False,2025-05-16,Unknown,,Yes,Collectr,0.68,0.0
Album,Pokemon,Brilliant Stars,Whimsicott VSTAR ,065/172,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,0.89,False,2025-05-16,Unknown,,Yes,Collectr,0.89,0.0
Album,Pokemon,Brilliant Stars Trainer Gallery,Ariados ,TG09/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,1.28,False,2025-05-16,Unknown,,Yes,Collectr,1.28,0.0
Album,Pokemon,Brilliant Stars Trainer Gallery,Boltund V ,TG13/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,2,7.62,False,2025-04-28,Unknown,,Yes,Collectr,7.62,0.0
Album,Pokemon,Brilliant Stars Trainer Gallery,Dusknoir ,TG06/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,1.84,False,2025-04-28,Unknown,,Yes,Collectr,1.84,0.0
Album,Pokemon,Brilliant Stars Trainer Gallery,Octillery ,TG03/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,1.85,False,2025-04-28,Unknown,,Yes,Collectr,1.85,0.0
Album,Pokemon,Brilliant Stars Trainer Gallery,Oranguru ,TG12/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,2,1.36,False,2025-04-28,Unknown,,Yes,Collectr,1.36,0.0
Album,Pokemon,Brilliant Stars Trainer Gallery,Rapid Strike Urshifu VMAX (Secret) ,TG30/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,4.18,False,2025-05-16,Unknown,,Yes,Collectr,4.18,0.0
Album,Pokemon,Brilliant Stars Trainer Gallery,Single Strike Urshifu V ,TG18/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,4.05,False,2025-05-16,Unknown,,Yes,Collectr,4.05,0.0
Album,Pokemon,Brilliant Stars Trainer Gallery,Single Strike Urshifu VMAX ,TG19/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,6.92,False,2025-05-16,Unknown,,Yes,Collectr,6.92,0.0
Album,Pokemon,Brilliant Stars Trainer Gallery,Zekrom ,TG05/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,9.92,False,2025-04-28,Unknown,,Yes,Collectr,9.92,0.0
Album,Pokemon,Celebrations,Surfing Pikachu V ,008/025,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,1.74,False,2025-05-16,Unknown,,Yes,Collectr,1.74,0.0
Album,Pokemon,Clay Burst,Tinkatuff (JP),077/071,Secret Rare,Holofoil,Ungraded,Near Mint,0.0,1,3.8173,False,2025-04-28,Unknown,,Yes,Collectr,3.8173,0.0
Album,Pokemon,Cosmic Eclipse,Reshiram & Zekrom GX ,157/236,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,69.08,False,2025-04-28,Unknown,,Yes,Collectr,69.08,0.0
Album,Pokemon,Cosmic Eclipse,Steelix (Secret) ,247/236,Secret Rare,Holofoil,Ungraded,Near Mint,0.0,1,15.83,False,2025-05-16,Unknown,,Yes,Collectr,15.83,0.0
Album,Pokemon,Crown Zenith: Galarian Gallery,Keldeo ,GG07/GG70,Holo Rare,Holofoil,Ungraded,Near Mint,0.0,1,4.84,False,2025-04-28,Unknown,,Yes,Collectr,4.84,0.0
Album,Pokemon,Crown Zenith: Galarian Gallery,Magmortar ,GG03/GG70,Holo Rare,Holofoil,Ungraded,Near Mint,0.0,1,5.24,False,2025-04-28,Unknown,,Yes,Collectr,5.24,0.0
Album,Pokemon,Crown Zenith: Galarian Gallery,Mew ,GG10/GG70,Holo Rare,Holofoil,Ungraded,Near Mint,0.0,1,17.58,False,2025-04-28,Unknown,,Yes,Collectr,17.58,0.0
Album,Pokemon,Crown Zenith: Galarian Gallery,Oricorio ,GG04/GG70,Holo Rare,Holofoil,Ungraded,Near Mint,0.0,1,1.19,False,2025-04-28,Unknown,,Yes,Collectr,1.19,0.0
Album,Pokemon,Cyber Judge,Drampa (JP),083/071,Art Rare,Holofoil,Ungraded,Near Mint,0.0,1,4.3664,False,2025-04-28,Unknown,,Yes,Collectr,4.3664,0.0
Album,Pokemon,Cyber Judge,Metagross (JP),080/071,Art Rare,Holofoil,Ungraded,Near Mint,0.0,1,7.0327,False,2025-04-28,Unknown,,Yes,Collectr,7.0327,0.0
Album,Pokemon,Dark Phantasma,Hisuian Arcanine (JP),075/071,Secret Rare,Holofoil,Ungraded,Near Mint,0.0,1,5.2036,False,2025-05-16,Unknown,,Yes,Collectr,5.2036,0.0
Album,Pokemon,Deck Exclusives,Lucario V (Non-Holo) ,27/73,Promo,Normal,Ungraded,Near Mint,0.0,1,4.05,False,2025-05-16,Unknown,,Yes,Collectr,4.05,0.0
Album,Pokemon,Eevee Heroes,Pikachu (JP),026/069,Common,Normal,Ungraded,Near Mint,0.0,1,2.16,False,2025-05-16,Unknown,,Yes,Collectr,2.16,0.0
Album,Pokemon,Evolving Skies,Dracozolt VMAX ,059/203,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,1.88,False,2025-05-16,Unknown,,Yes,Collectr,1.88,0.0
Album,Pokemon,Evolving Skies,Pikachu ,049/203,Common,Normal,Ungraded,Near Mint,0.0,1,0.14,False,2025-05-16,Unknown,,Yes,Collectr,0.14,0.0
Album,Pokemon,Fossil,Psyduck ,53,Common,Unlimited,Ungraded,Near Mint,0.0,1,0.48,False,2025-05-16,Unknown,,Yes,Collectr,0.48,0.0
Album,Pokemon,Fusion Strike,Croconaw ,056/264,Uncommon,Normal,Ungraded,Near Mint,0.0,1,0.12,False,2025-05-16,Unknown,,Yes,Collectr,0.12,0.0
Album,Pokemon,Fusion Strike,Genesect V (Alternate Full Art) ,255/264,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0,1,28.01,False,2025-05-16,Unknown,,Yes,Collectr,28.01,0.0
Album,Pokemon,Fusion Strike,Jigglypuff ,110/264,Common,Normal,Ungraded,Near Mint,0.0,1,0.11,False,2025-05-16,Unknown,,Yes,Collectr,0.11,0.0
Album,Pokemon,Fusion Strike,Pyukumuku ,077/264,Uncommon,Normal,Ungraded,Near Mint,0.0,1,0.09,False,2025-05-16,Unknown,,Yes,Collectr,0.09,0.0
